Name,Type,Latitude,Longitude,Address,Rating,Description,Photo URL,Google Maps Link
Hotel Europa,cafe,48.1519229,11.5563283,"Dachauer Straße 115, München",4.4,"Low-key hotel with free Wi-Fi & breakfast, plus a Bavarian/international restaurant & a bar.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AcnlKN2ZdOxjDyoenDmbEDQZMWVBnbhMGNVrHNkwaGwUCOQ8CTv1b4L-cXX-mIKY0eEV3a8eE05FHZUH1RAnJIPTX_oBNvh_A7qOcjP9cG6WM89rlFVqqlZfXENSCg2Ffv3CJ2_I13ALGATGCwzRcXq2SilvEewDzyIhksvsIeNZksArvbaAtssL_ohm1znMZuht8pQzuZ_SVsEvdsDtMfYlpMLPQn90H82-OxKZ6D7rk9haMMXfbW3RGAsGSAhHR2IVksVnl-nhyzjKt1FiLWKAcPNXkzbV6dY07TIKO2h_Kp5Q8DH1WbAVoCfDI5JsXlpmCU5wzsbNmt30hKiEi_Dav3PI7V0VUSv_BJZtdjG3WN0pSPMQLcFWmw8x1sERvpYJsEV9svy9VgtS-dVpafbDCvBrPGxcHGgclHokdMY9KQlEW03HJOladj1xgW-l3zxiqOTQc5rVD_zKBw2U74idhpf9nREuPs95hXhbN0JDd5uWBckFD1bgrsv9gsmqT2-GLllO8L0waJmwpqxQqEUeQ-6FJQhXvLomLYruMc1FeEdNSZ80UxLyzAMrRLWRL0gEFt5bA3-HT5RTeLBNTHiUZLedvYNNIH7uDQlcUvKt1C2RYNJueZ54P2vURqx1I_Ndpikh3QqCakK7nRlSGBykUeAe7Rs&key=AIzaSyB7-1_i-bxLcxRGvsy9O97R0twuZJcqzG0,https://www.google.com/maps/place/?q=place_id:ChIJ9zw6i-F1nkcRPKoI583fFyY
Cafe Lotti,cafe,48.1496501,11.5594289,"Schleißheimer Straße 13, München-Maxvorstadt",4.3,Cute pastel-colored space serving cakes & savory platters made with locally sourced ingredients.,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AcnlKN2tIMrXMaLqvS1uEDPzbZXFEOEdg2vOpikWy9j7XGb8sksMsO2bBF_5LaWaDmS_btCbNPgpcYWKRQPm2p2OxYPyi7GRMMEPO_Sm14XmUyKULaJmjPZ1srUTKlgF7BdleutK8AZKrMOkXUlvo5r_5iMRxD3m93izX6wZbxgdnPnwrOrPe8Ehc7n1MPxigjpqhU76-jCZzyWzKgajyXnRzUJ_joR5EberPok0YL3Z2SGpCapxSIbo8-XT0T9w0BZkChw-oRGTc-g31QCEupnkwRxmTfp0uhuPwQUwl4wmsFRdZlxIdNz2m1QjQUPo4fPRr3UCd4K8Yo4&key=AIzaSyB7-1_i-bxLcxRGvsy9O97R0twuZJcqzG0,https://www.google.com/maps/place/?q=place_id:ChIJV9LMkeN1nkcRtArOzD2U4hE
Café Luitpold,cafe,48.1429452,11.5750041,"Brienner Straße 11, München-Altstadt-Lehel",3.9,"Modern coffeehouse in a grand 19th-century building, specializing in cakes & gourmet chocolates.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AcnlKN28zENUrcJ6w5IGgKsDgG79KH4wWGhvkQhhIDcNFPG_YWjzFQ9ldWo2EMN0OXlteIH1wiWm_p8nzCNrYYDzWnG-sCwGQ2QpQF1_tnwOYQMvzy3rn48_pXt_-CT4Op4bKt6LVWuI00PaboRNYEpsxrqLQoUDnYQpwM-97a--405CU6ZXl8iXqQpdlTwsgV_VH6lyyPTDcwuzJSXpCEdPZCnKTcG6i4h2XXk625QbAbRRb2WHbXSH2RbnFpbytlN7m-ILraKd4ZeTm9uh-61myD0EiTmecHLxOSD8B2-7cqBJarQ6aTRyH8gXlVG8wTu38JZKD6NL3IU&key=AIzaSyB7-1_i-bxLcxRGvsy9O97R0twuZJcqzG0,https://www.google.com/maps/place/?q=place_id:ChIJnXCJ7_J1nkcR6vRc2lazYME
VAPIANO München Theatiner Straße,cafe,48.14044889999999,11.5752066,"Theatinerstraße 15, München",3.6,"Laid-back restaurant featuring made-to-order fresh pasta dishes, along with pizza & salad.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AcnlKN1ZOAyUjEPP-Fl7su4-iz9IiaL1Opkx8xyhXu2B79bsZSHzZC_6ZsTpQmw9qE_A8GNhsm8zvIo4mAryNK1vXXksEtOJNeKourEyUd3zt8S9BJZqWqVg508VvPYkDPWNqff38BA8oRtY3RaYnWVK7IlUvXNOiQiGTF_RamzAQbcjgsztDt0XPGU_tqtywt0YwwgT8dLjwu_QnLrng9ybDfRDIxYPVJ4JuWTn7v6OEuEwtOvgeJUnVX-rHYe7ugKHW1ncMjIPSOpI99VY8kYFTkrKiICPXl2e8m3yODlQBlmn4QDaZB96BZbBLMzp4krK8qBpaSmsAzw&key=AIzaSyB7-1_i-bxLcxRGvsy9O97R0twuZJcqzG0,https://www.google.com/maps/place/?q=place_id:ChIJXdMIS_N1nkcR_gpA4OGgDTc
Bavaria Bowling - München,cafe,48.1515598,11.5453604,"Lazarettstraße 3, München",3.9,"Bowling alley with happy hours, rock & bowl nights & an all-you-can-eat Sunday breakfast buffet.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AcnlKN3FjR5mazufds829DHgD5hsNIMzNkHxysc4npVkrWFMOUJVdERrM44gE1C6FfZ-MYpZDojloHTJBsU3nhe_zx9Qp7wS0aSkvk828vm4_9ENIeUDdk-KyCDMcqdh3H4fDJKl3lA7zqOEJvrYbkzdLxzzJyEKUfubZ86bsCqOSJrYUTlprgBo__11gH-VutXAxP0kYeKU9Zq7VaXDa1qdNL9yO9Lmsy4G5YIdTuFdbDnV9f1Ms-HWc2rGNLoiGyIo-VaFioQizih7ZDp8yPnYWe9AKB_XXBTDtwelTuBeNj1EGIdNECS05EqKYjnjm2g9qr51NQjFNK8&key=AIzaSyB7-1_i-bxLcxRGvsy9O97R0twuZJcqzG0,https://www.google.com/maps/place/?q=place_id:ChIJcQa68g52nkcRecaq4z4fzzg
Prinz Myshkin,cafe,48.13596019999999,11.5708059,"Hackenstraße 2, München-Altstadt-Lehel",4.5,Upscale vegetarian restaurant with minimalist modern decor & a focus on creative global dishes.,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AcnlKN3txswn_GqvLa10EVARR0YANaMWYxe7-FSKC7r0RWMZBX8A1-LkVfFGn_cYqp_UNx5_kO8azqllMrf25zP2cbxCiv3XxCdyVvdCZYoI-y_s67DfBLRXu3lucGO_iP-GXuZc6buFJO_H5IICw0Xd8XGmUTTKq1wD7VJokP4NplQoJBELjbQsKjnYxjU4tkQ6oVmDtDIQB6zvWYrW0gybNswWTL0yQN2ToGR729nDFqXaq59hlEZIQHM1OglBsTRQWtuel5eUBEspsEhaXUCYSVpfTidKsBxui6Sl2N84_1j5IgB27Shq1QtR8g3KT3VhPB6xutfj1v0&key=AIzaSyB7-1_i-bxLcxRGvsy9O97R0twuZJcqzG0,https://www.google.com/maps/place/?q=place_id:ChIJl3c4nfV1nkcR1SU_EWw5T28
Café Jasmin,cafe,48.1500671,11.5636885,"Steinheilstraße 20, München-Maxvorstadt",4.3,"Comfortably furnished spot with an international menu of meals, cakes & cocktails, plus live music.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AcnlKN1U2zNl6TPNLz65LqKtb4dUuSeOEm6md-bJSa3-EYpNe53R_nVj10mY3L52z6_3-oFBsFnnU8ezKqSmxrFsWxeDmeoVyiBZ7NQGm3EI1HjZkDCZ5S-ZitgXL-G0yew4gBKm6MF3f-RRiw08kUT_SkXY9cizSSRzf3UQVnJISUH252qYB8n3VPdosFmtB9CMM0dxZOHn_ryZXcAwjOkMRR_XVr7ialNxZfR-fNt15SE5BgiINtaapHWErerwavAWO20PDW_nNWfVjrwuV5XZJttZX8nbtySkcABEKsxg8_LbUB_YpWoeIk3fHQmALGcvSgUcKq-CKGmdM4KMs2p8ErD5OTFcIiVDqJrugrF9v-cajlh1qY_DZPYyVVyRHH1bdCPhX4W3dmdb4tsCz8Oy5U7zsuhB9s9jLiUcKPa-IywiSG-6MjbDRegTMfeLztNDJ9icPldpSjRyUO0BX6zOX2wpru54HdebkZFVDPl2sZpD-eD9hy_vcediGrjvYwUW6bitBnh_TyV8AIL-Lqfw7RF1rK9PuWT_fqgNkYC_mK9KqQAhCINbhhnFC5Da_ewL4mX_QK7Q9AqbTr6_Ag00bMapb1NnJ8W8mEzrObzmttR4ISC-efSf-3AZnGDjBhL31NMEuQ&key=AIzaSyB7-1_i-bxLcxRGvsy9O97R0twuZJcqzG0,https://www.google.com/maps/place/?q=place_id:ChIJ795uy-V1nkcRZR8cyG4lzVA
Wildmosers Restaurant-Cafe am Marienplatz - München,cafe,48.1370042,11.5753142,"Marienplatz 22, München-Altstadt-Lehel",4.8,"Café-restaurant with a terrace, said to be the birthplace of Munich's speciality Weisswurst sausage.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AcnlKN36-HLr1z7Dhr_ox7xfj8UvGuCMtLZe4wGbqPmZdwCp5SDQvWLtxVur9J0WfrWSpjTDn_Zy4ktAxGId-m8TwC3w1oqH6ayEu0XpRVguub_ZX1EMAo1YMOf9QbNRVwTarEY-hSDBddecofJudqfij2x3J7eXdr-KXVDOrGfo6VtoOp2rCiQlubD6ydFNvLWIWF7VTpvOGKUQ_ZY7BV9Tk4abaUZOhMxygI0KgeyXcqqiF9d6bSaSvIQyWM2RWisCf6MSNHjA-MrbLmhOMAi0TgQIXBuizXpgfDERYVfTkuT8VwyHrR3R9Fy5tpORqpbgyRYqtC2tX6k&key=AIzaSyB7-1_i-bxLcxRGvsy9O97R0twuZJcqzG0,https://www.google.com/maps/place/?q=place_id:ChIJawJw1op1nkcRtQcZhog_2nY
"Cadu, Cafe an der Uni",cafe,48.14954,11.58126,"Ludwigstraße 24, München-Maxvorstadt",3.9,International brunch plates & meals served in a cozy space with summer terrace & glass-roofed patio.,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AcnlKN1279r-CmJnUlExGurhAty4twbsZlKntpvCIFB8RIZd2wfIAaVu3z1A69O5KTsf_bPokpCbucLeLxqgBJ3GJss7s8Vsl6ltFs8fZwk2rfbTaWWXH5VG-h3fCr9secPpARYNWVnhCU8efJg2Ug2Wg4ejabrV0g9HWJ5BeX2NRV4m2Xj0gSD30_odCQ4KeBdhBfalrYlFHkX9fvA6uFWN_xlEQa2hd-voC7VuHAM7KAP2YdMsXiope0_yOhIRVzKMTnorHZPtNOFecgY_M0rv21EQa5-D8yHwhLvF9jkvtwMShG1ccwa_UWra7Qt5DpvQyZKhFyd5D2c&key=AIzaSyB7-1_i-bxLcxRGvsy9O97R0twuZJcqzG0,https://www.google.com/maps/place/?q=place_id:ChIJtQQHpJR1nkcR1rIHF0cT-M0
Café Puck,cafe,48.1493882,11.5752475,"Türkenstraße 33, München-Maxvorstadt",4.4,"Laid-back cafe with classic decor, known for its American brunches & German & international meals.",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AcnlKN2nhMozUTWnPEwW90RMNMHByHqkBHsOTzPRMozKzl2ict0w1ZMdyz06sOrCPswyHe1xAagPuMwP6ujZlOXRpLOQW5752V2m6ZRiF9eZbehqr6W3jZnqeVKU7axfMdrahMFVLg5Rb7y7UckGa8m-84bFo2pi7iIwwzln1hkXdgQiopGsH0B7t_3Y5irfBYLIxE_lLQklX9qqCuIbHaFddybLh0pa3qVgO3bSo6iCgACBcyYgnYYYV0DhDwooz3ZUNOPhJegphGHOE5FJhaWrGMMAQW0rWr9PIZkVoTVj5Q8YzOdrYjNTqDPjmTLF7OJRmHEM86KtIexvV51UujpCp11QO7AZPUJiCSjkVQ716qaAS0dz71z7z7wEQQIgHaqq-aqJXYNvQFv2BUAY_o27EizYbgXSQK9q1kuqAY1AxefAJ2P2E1ke5Dt46W2HjxCJXyJ5mvUtlKUyWicfB6LbCD30H7D3oRZlGJadDALTUdwVvBrMENUbar1eEFWCFTA5RaIvtqE4IY2AB26dQ6luMt5hImxieQ3JcPut91dkUUVGycIxz8Ufw0GIGYSgrrXYd_lnGR06ilTwGz5eyHbepxB5v4-yrZMIP3RYgwR3CRvZUVaPblsfaAPySH9LcVQLKrKzLg&key=AIzaSyB7-1_i-bxLcxRGvsy9O97R0twuZJcqzG0,https://www.google.com/maps/place/?q=place_id:ChIJjbdkcux1nkcR5fFRB8vhh28
